lamb, beta, k, delta, p, c, K
-1.745223503460918479e+00,-4.684406418625232327e+00,2.890391236285697829e+00,2.154684106601840288e+00,4.803768681615600555e-01,-2.209459065933171429e-01,5.972735535321577452e+06
-1.418977425200020015e+00,-4.280311760298381785e+00,2.976049560571675912e+00,2.790954265166935233e+00,5.610223518008861099e-01,-5.089153332774469796e-01,5.972735535321577452e+06
-1.391129606001237917e+00,-4.318048417634517300e+00,2.943953928180569779e+00,2.730137785165777764e+00,5.412027311546516728e-01,-5.505615369242162771e-01,5.972735535321577452e+06
-1.331810225659441294e+00,-4.653959326593162693e+00,2.786191698972171338e+00,2.271760607754432115e+00,4.417210972832593674e-01,-6.561958174380051467e-01,5.972735535321577452e+06
-1.401813387166998659e+00,-4.926069135270135568e+00,2.575168748464550017e+00,2.010419451878045827e+00,5.135091410337111473e-01,-4.563054297743701637e-01,5.972735535321577452e+06
-7.793529913184058522e-01,-4.595325027393695194e+00,2.643731606144825719e+00,2.443004650182611481e+00,4.946633462740562259e-01,-5.965810589074175274e-01,5.972735535321577452e+06
-4.159258420412760282e-01,-4.334096500279695618e+00,2.669793429699339971e+00,2.432501294491125066e+00,2.422433680128570632e-01,-6.184813879183506113e-01,5.972735535321577452e+06
-5.728018452860339504e-01,-4.495753657610267240e+00,2.574208780893293191e+00,2.303831775958271155e+00,3.486244965256535266e-01,-5.036953945870954463e-01,5.972735535321577452e+06
-6.270311395302669011e-01,-4.387982732987533829e+00,2.301999190413161145e+00,2.333315825421041101e+00,2.411598005343219553e-01,-4.352932552749678163e-01,5.972735535321577452e+06
-2.055773394720876723e-01,-4.482753582056484554e+00,2.072629524201966333e+00,2.015854509056990373e+00,5.484994900345996349e-02,-4.617371468979243332e-01,5.972735535321577452e+06
-8.652780109898401406e-01,-4.643905152222023602e+00,2.019116692063782637e+00,2.561757880406251076e+00,6.189898448476542914e-01,-9.373229883301503751e-01,5.972735535321577452e+06
-7.150020707219224558e-01,-4.599454660189116417e+00,1.890960757199270148e+00,2.570752211587583602e+00,5.758096934807206413e-01,-9.959910415438764097e-01,5.972735535321577452e+06
-4.867113230264947243e-01,-4.286864949214731269e+00,1.882858310482171005e+00,2.711555740514638657e+00,5.574543727050974562e-01,-8.255209890988566279e-01,5.972735535321577452e+06
-1.392691330846233866e+00,-4.456119083027969552e+00,2.889489845220175823e+00,2.677624817595031459e+00,5.385527230625444250e-01,-1.299153869489372504e+00,5.972735535321577452e+06
-1.177589714991451375e+00,-4.091552936039311916e+00,2.427023991572185846e+00,2.624640645800579541e+00,2.571436610545970725e-01,-6.592948212283380460e-01,5.972735535321577452e+06
-8.475434787119940916e-01,-4.643588179258919091e+00,1.979761218616496343e+00,2.399468822496785947e+00,4.752579826845479971e-01,-7.825724336169358475e-01,5.972735535321577452e+06
-1.982437468304505845e+00,-4.698425846919236371e+00,1.382734043297451532e+00,2.348660109374830718e+00,4.286080806195188275e-01,-1.413179628884845274e+00,5.972735535321577452e+06
-2.759534922271386748e+00,-4.590491275301221030e+00,1.151631199700771324e+00,2.138106492593765395e+00,2.517071657112331939e-01,-1.330479153782680335e+00,5.972735535321577452e+06
-2.923832534686720663e+00,-4.367451877757860146e+00,1.175039018296992532e+00,2.559098651758246579e+00,2.996044125614206743e-01,-1.716863243888185453e+00,5.972735535321577452e+06
-2.923832534686720663e+00,-4.367451877757860146e+00,1.175039018296992532e+00,2.559098651758246579e+00,2.996044125614206743e-01,-1.716863243888185453e+00,5.972735535321577452e+06
