SSR, lamb, beta, k, delta, p, c, K
1.161563767656689006e+00,1.418031667210454538e-01,2.221115479060240872e-05,2.234895089504600030e+00,2.878587557379112960e+18,3.140988145717452288e+18,8.834084623312556062e+01,7.982421726600195281e+06
1.064594240502229949e+00,1.968344876755510342e-01,1.916508066137015144e-05,1.727341645820755556e+00,2.624493116168169984e+18,2.990545455750435840e+18,9.023178928362546003e+01,2.507700495387663320e+07
1.250839292541781056e+00,1.549742207819947148e-01,1.934468674181316235e-05,1.786547010785671352e+00,2.617002460173930496e+18,3.455036253590597632e+18,7.974463616170511671e+01,7.938050079063060693e+06
1.062285535857348640e+00,1.457806327588614670e-01,2.216993468454127284e-05,2.234889939509600687e+00,2.870696218811933696e+18,3.149626980162181632e+18,8.800637765013178182e+01,7.980053365912806243e+06
5.018778296050947461e+02,2.889758510870514274e-01,8.672341614675617603e-08,4.433364542217451548e-02,5.614089191866434191e+20,1.610598425754944400e+16,1.813452145337819456e+04,1.657452623734943103e+06
8.486399527673287313e-01,1.290926660447333230e-01,1.973982236568284663e-05,1.876222115348806341e+00,2.632337223667039232e+18,3.332343257561710592e+18,8.839818945022555852e+01,9.093248457568602636e+06
8.934191832941429379e-01,1.894525477273490688e-01,7.452467569014719186e-05,1.509450024503126153e+00,3.433483465713274368e+18,2.105901904616610304e+18,1.416526538719752750e+02,1.030314180492281355e+07
9.134200418620279649e-01,1.756145032504598524e-01,4.498479028750124702e-05,1.387907905539344178e+00,4.617979042553136128e+18,2.017834821232236544e+18,5.275856969417100117e+01,8.317810058335465379e+06
1.542823370557973917e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
6.641286321197012512e+02,5.238172661643451633e+00,1.389732897990183280e-07,3.767992300192048449e-01,6.209362289617241375e+20,1.456000064525158200e+16,1.993818725896189426e+04,1.192479210151858628e+06
1.496144731802809824e+00,1.367038233748343878e-01,2.203319349689185998e-05,2.154311713099511749e+00,2.896880798088325632e+18,3.121153297766241280e+18,8.897108934832603211e+01,8.027613127296972089e+06
8.241368927358305729e-01,1.936853274369673694e-01,1.827668347700819076e-05,1.610463419889053505e+00,2.531234552456776192e+18,3.591860713819319296e+18,7.978104029994499058e+01,1.182617993098360300e+07
8.579443283288055166e-01,1.220645901641903286e-01,2.197865680118109527e-05,2.135201281812987961e+00,2.899017250111943168e+18,3.116967690731524096e+18,8.919925070633587438e+01,8.332551371840709820e+06
4.872032428204753907e-01,2.024640125814190783e-01,2.533134801482812880e-05,1.492706536493548786e+00,2.797643469372262400e+18,3.231864879928027136e+18,8.707350892045819535e+01,1.149960675270546973e+07
1.192127291121578780e+00,1.504253148551808750e-01,2.231719674311830775e-05,1.685157349638585877e+00,3.338884776058458112e+18,2.704326410757827584e+18,5.982532211438621061e+01,9.815466817906761542e+06
1.000178307188805293e+00,1.370148992218583883e-01,2.195312655634423601e-05,2.164349476194209920e+00,2.874414243384637952e+18,3.125186014640957440e+18,8.763731598675782664e+01,8.598509420119486749e+06
1.134030840623208913e+00,1.424943762894126942e-01,2.055187960872298692e-05,1.950287114500178776e+00,2.742775493473275904e+18,3.305186296710479872e+18,8.330323429205532193e+01,8.247243272069065832e+06
