SSR, lamb, beta, k, delta, p, c, K
2.00E+00,1.10E-01,2.48E-06,1.46E+02,2.62E+00,5.77E-01,2.68E+00,2.01E+07
1.94E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.25E+00,2.54E-02,1.86E-06,1.74E+02,3.58E+00,8.79E-01,1.78E+00,9.40E+07
1.96E+00,1.44E-01,1.03E-06,1.74E+02,3.85E+00,1.77E+00,2.53E+00,1.99E+07
6.84E-01,4.93E-02,2.28E-06,6.66E+01,2.55E+00,1.34E+00,6.06E+00,1.08E+07
8.02E-01,1.32E-01,1.15E-06,2.41E+01,4.64E+00,2.55E+00,3.12E+00,1.54E+07
1.31E+00,5.19E-02,1.70E-06,3.23E+02,3.06E+00,1.09E+00,2.36E+00,9.82E+06
1.64E+00,7.32E-02,5.40E-07,2.75E+02,4.07E+00,4.03E+00,2.83E+00,2.19E+07
2.27E+00,2.18E-01,2.31E-06,2.04E+02,2.80E+00,5.41E-01,2.69E+00,2.79E+07
3.06E+00,3.69E-03,4.68E-06,1.45E+02,2.68E+00,3.68E-01,2.76E+00,7.19E+06
2.09E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.73E+03,8.68E+00,2.62E-09,1.30E+09,8.36E+10,1.85E-08,1.11E+13,1.24E+03
1.86E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
9.42E+00,1.75E-01,1.75E-04,4.07E+00,2.60E+00,6.82E-03,1.87E+00,1.61E+07
1.31E+02,4.44E-33,4.27E-39,3.90E+21,4.67E+16,9.43E+63,1.94E+22,5.91E-39
7.32E+00,2.55E-02,1.99E-05,9.79E+01,1.61E+01,2.06E-01,1.21E+00,1.57E+07
1.18E+00,6.36E-02,6.16E-07,2.10E+02,1.30E+01,8.76E+00,2.42E+00,3.38E+07
1.21E+00,1.63E-02,2.96E-06,6.36E+01,1.07E+01,1.38E+00,1.55E+00,7.49E+06
3.25E+00,4.51E-02,9.42E-06,1.02E+02,3.34E+00,1.45E-01,1.35E+00,8.56E+06
2.03E+00,1.02E-01,1.28E-06,2.10E+02,2.51E+00,1.75E+00,4.86E+00,2.09E+07
1.26E+00,1.04E-02,4.82E-07,6.54E+02,5.93E+00,9.49E+00,4.81E+00,7.22E+07
2.06E+03,2.99E-31,1.67E-30,1.56E+30,1.95E+01,8.28E+13,3.84E+06,6.75E+23
3.66E+00,1.78E-02,1.60E-06,6.05E+01,2.67E+00,8.50E-01,1.75E+00,1.18E+07
1.55E+00,5.00E-03,6.23E-07,9.58E+02,3.64E+00,4.97E+00,4.15E+00,2.16E+08
2.06E+00,1.11E-01,9.29E-07,1.35E+02,2.49E+00,2.59E+00,4.52E+00,1.46E+07
9.07E+00,5.83E-01,9.72E-05,3.00E+00,2.47E+00,5.46E-03,9.69E-01,3.23E+07
1.66E+00,9.01E-02,1.75E-06,1.58E+01,6.59E+00,1.82E+00,2.45E+00,1.80E+07
4.70E+00,1.52E-01,2.88E-06,2.47E+02,2.74E+00,3.77E-01,2.33E+00,3.36E+07
2.30E+00,8.77E-04,1.42E-06,3.78E+02,3.54E+00,1.80E+00,3.66E+00,3.89E+07
9.75E+00,2.41E-01,1.81E-04,2.53E+00,3.46E+00,7.92E-03,1.83E+00,1.49E+07
3.42E+00,2.48E-02,3.72E-06,1.98E+02,2.23E+00,5.81E-01,2.40E+00,1.65E+06
2.18E+00,1.66E-01,4.80E-06,5.44E+01,1.79E+00,2.66E-01,2.83E+00,1.61E+07
1.32E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.18E+00,1.67E-01,1.42E-06,1.70E+03,2.34E+00,7.10E-01,2.20E+00,3.52E+07
4.63E+03,5.20E-41,6.21E-01,9.43E-01,5.42E+02,2.26E+05,4.12E+17,9.15E+16
2.08E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
5.36E+00,3.49E-01,4.00E-06,8.54E+01,2.90E+00,1.58E-01,1.64E+00,4.80E+07
1.69E+00,1.38E-02,1.37E-06,7.41E+01,2.81E+00,2.99E+00,5.67E+00,1.77E+06
3.24E+00,1.18E-01,3.13E-06,5.39E+02,1.00E+01,8.29E-01,1.51E+00,4.58E+07
1.53E+00,3.11E-03,2.82E-06,1.08E+02,2.13E+00,4.50E-01,1.90E+00,1.33E+08
2.52E+00,3.19E-02,9.58E-07,5.83E+01,2.56E+00,4.94E+00,9.38E+00,1.38E+07
2.37E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.69E+00,2.18E-01,3.23E-06,1.08E+02,2.52E+00,3.74E-01,2.13E+00,1.99E+07
1.09E+01,9.54E-02,7.31E-05,6.26E+00,2.87E+00,1.91E-02,1.92E+00,9.46E+06
3.30E+00,3.45E-02,1.94E-06,3.98E+02,5.09E+00,1.43E+00,2.24E+00,8.37E+06
1.75E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.84E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.21E+03,1.06E-06,1.40E-10,1.46E+05,3.91E+01,8.72E-03,2.67E+04,1.72E+16
1.72E+00,1.68E-02,8.60E-07,2.41E+02,4.37E+00,3.48E+00,3.51E+00,1.06E+07
2.36E+03,1.81E+01,1.31E-09,1.95E+09,8.05E+10,3.13E-08,1.18E+13,7.69E+03
2.40E+01,7.74E-02,9.34E-07,2.14E+02,2.48E+00,2.28E+00,3.68E+00,1.52E+07
4.73E+00,2.04E-01,8.57E-06,7.97E+01,2.83E+00,1.06E-01,1.32E+00,2.15E+07
2.08E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.21E+00,6.32E-02,1.73E-06,2.78E+02,2.73E+00,2.83E+00,1.08E+01,1.27E+07
9.46E+00,5.91E-03,1.71E-05,5.33E+01,2.44E+00,8.87E-02,3.05E+00,2.53E+07
9.07E+04,2.62E+02,3.94E-08,2.71E+12,4.42E+09,2.05E-05,7.53E+12,2.31E+07
6.11E+00,3.16E-03,1.04E-06,7.93E+01,1.16E+01,6.14E+00,2.80E+00,1.02E+06
1.34E+03,6.33E-04,1.72E+35,4.91E+50,9.11E-14,1.46E+38,1.86E+01,1.53E+43
2.38E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.79E+00,2.34E-04,2.33E-06,1.74E+02,6.09E+00,1.36E+00,2.75E+00,1.54E+07
5.63E+01,6.44E-01,6.41E-06,1.08E+02,3.02E+00,8.25E-02,1.91E+00,9.73E+07
1.53E+00,1.71E-01,3.55E-06,1.97E+02,4.99E+00,5.71E-01,2.23E+00,2.14E+07
6.65E+00,2.63E-01,1.28E-04,4.18E+00,3.07E+00,1.25E-02,1.63E+00,1.12E+07
2.12E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
4.04E+03,1.97E-46,2.55E-16,1.09E+33,2.82E+20,3.46E+38,2.02E+13,1.14E-05
1.69E+03,2.50E-19,1.35E+23,1.61E+60,1.53E-03,3.58E+31,1.88E+14,1.43E+41
1.80E+00,6.96E-02,2.85E-06,1.03E+02,1.84E+00,8.72E-01,5.25E+00,9.51E+06
7.67E-01,1.92E-01,1.93E-06,2.99E+00,1.35E+01,3.91E+00,2.95E+00,2.17E+07
2.53E+05,3.85E-45,4.94E-96,2.20E-31,6.35E+21,2.05E-48,3.16E+16,3.08E+03
1.92E+00,1.29E-03,5.59E-07,1.53E+01,8.08E+00,1.01E+01,3.83E+00,1.37E+07
5.10E+00,2.44E-01,1.14E-05,1.14E+02,2.24E+00,6.64E-02,1.64E+00,2.99E+07
1.42E+01,1.37E-01,1.82E-04,1.90E+00,3.17E+00,8.87E-03,1.36E+00,1.08E+07
4.60E+00,1.02E-01,8.12E-08,2.07E+03,5.67E+00,2.36E+01,2.40E+00,8.19E+08
8.58E+00,4.74E-01,2.06E-05,5.09E+00,2.27E+00,2.20E-02,1.19E+00,4.11E+07
3.44E+00,9.70E-03,5.58E-06,9.00E+01,2.43E+00,2.41E-01,2.12E+00,3.64E+07
9.02E+00,6.48E-01,1.20E-04,1.74E+00,3.69E+00,8.62E-03,9.80E-01,2.53E+07
4.53E+00,5.60E-02,4.96E-06,4.83E+01,2.80E+00,2.37E-01,1.89E+00,1.01E+08
7.32E+01,4.80E-35,1.72E-07,1.23E-43,9.50E-50,4.20E+36,3.62E-35,2.50E-28
9.81E+00,1.83E+00,3.95E-05,2.34E+00,2.34E+00,4.92E-02,2.36E+00,2.05E+07
1.39E+00,4.01E-02,1.13E-06,3.38E+01,8.52E+00,4.97E+00,4.31E+00,1.83E+07
1.58E+00,2.93E-03,8.52E-07,2.19E+02,3.10E+00,3.70E+00,4.95E+00,4.44E+08
1.79E+00,3.25E-03,2.63E-06,2.56E+02,2.25E+00,5.96E-01,2.74E+00,1.31E+07
3.03E+00,2.45E-01,7.66E-06,3.94E+01,1.62E+00,1.23E-01,2.58E+00,2.20E+07
5.09E-01,1.17E-01,1.83E-06,1.14E+02,4.35E+00,1.32E+00,3.84E+00,2.42E+07
3.07E+00,1.71E-01,1.66E-05,4.25E+01,3.97E+00,8.80E-02,1.69E+00,1.69E+07
2.80E+00,9.57E-02,2.36E-06,9.32E+01,3.09E+00,1.27E+00,5.02E+00,1.17E+07
4.64E+02,8.19E+12,8.36E+01,1.91E+01,3.87E-06,1.15E-24,3.74E-12,5.83E+15
1.37E+00,2.43E-02,3.64E-07,2.77E+02,3.90E+00,2.37E+01,1.34E+01,1.01E+07
1.66E+04,4.20E-03,1.12E+19,2.23E-03,1.37E+14,7.81E-34,2.27E+10,3.23E+11
2.14E+00,2.01E-04,1.34E-06,1.88E+02,2.04E+00,1.31E+00,3.13E+00,3.65E+07
1.54E+00,4.18E-02,1.27E-06,9.94E+00,5.51E+00,3.60E+00,3.51E+00,6.03E+06
4.57E+03,5.44E-82,7.51E-69,1.87E+20,1.02E+09,1.23E-04,5.24E+07,3.95E+65
1.35E+00,4.17E-03,8.42E-07,7.10E+01,5.88E+00,3.56E+00,2.27E+00,8.78E+06
4.08E+00,2.93E-01,1.35E-05,1.76E+01,2.06E+00,5.04E-02,1.31E+00,2.26E+07
1.12E+01,1.94E-01,1.09E-04,5.48E+00,3.31E+00,1.10E-02,1.57E+00,1.61E+07
3.05E+00,5.03E-02,1.98E-06,1.81E+02,2.15E+00,6.22E-01,2.11E+00,1.91E+07
3.75E+02,1.80E-14,1.75E-29,2.56E+17,4.06E+00,1.29E+26,2.40E+06,2.70E+10
2.49E+00,1.02E-03,1.23E-06,5.22E+02,2.04E+00,2.59E+00,6.95E+00,3.60E+07
2.87E+03,4.52E-44,7.05E-24,7.22E+40,3.31E+14,1.11E+54,8.90E+29,6.09E-15
2.06E+00,1.88E-01,4.49E-06,5.03E+01,1.83E+00,2.31E-01,2.48E+00,1.98E+07
1.50E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.70E+00,2.42E-02,2.59E-06,1.29E+01,3.07E+00,3.77E+00,1.46E+01,3.62E+06
2.24E+01,4.61E-01,2.71E-06,1.73E+02,4.50E+00,5.40E-01,1.25E+00,1.06E+07
1.87E+00,6.92E-02,7.98E-07,1.57E+02,5.95E+00,3.76E+00,2.49E+00,1.53E+07
9.50E+00,2.16E-01,1.78E-04,2.14E+00,3.18E+00,5.89E-03,1.22E+00,1.77E+07
2.08E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.09E+01,3.04E-01,2.21E-06,1.33E+02,3.62E+00,7.13E-01,1.95E+00,1.51E+07
9.83E-01,5.33E-03,1.09E-06,1.03E+02,3.37E+00,1.71E+00,2.13E+00,2.95E+07
2.16E+00,2.02E-01,1.74E-06,2.18E+02,4.97E+00,9.24E-01,1.60E+00,2.65E+07
2.75E+00,3.15E-01,1.62E-06,1.60E+02,2.47E+00,5.26E-01,2.37E+00,3.64E+07
2.33E+00,1.25E-01,5.41E-07,2.54E+02,6.56E+00,3.97E+00,1.94E+00,4.08E+07
4.06E+00,1.20E-01,1.56E-05,2.19E+02,5.83E+00,1.12E-01,1.89E+00,3.12E+07
2.75E+00,7.44E-04,1.21E-06,2.22E+02,4.18E+00,1.58E+00,1.69E+00,1.49E+07
2.07E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.42E+00,3.32E-02,9.12E-07,2.86E+02,4.45E+00,3.04E+00,2.56E+00,7.23E+06
2.88E+00,3.15E-03,2.06E-06,2.23E+02,2.86E+00,8.65E-01,2.42E+00,5.45E+07
1.29E+00,8.82E-02,4.82E-06,1.14E+02,2.95E+00,5.65E-01,4.86E+00,1.16E+07
2.32E+00,8.22E-02,2.85E-06,1.38E+02,2.57E+00,1.42E+00,8.35E+00,1.15E+07
2.66E+00,1.53E-03,6.70E-07,2.07E+02,3.19E+00,1.34E+01,1.66E+01,4.20E+08
2.28E+00,7.66E-03,1.02E-06,1.99E+03,4.15E+00,2.66E+00,3.16E+00,2.65E+08
1.47E+01,1.60E+00,2.39E-04,2.26E+00,2.53E+00,1.10E-02,1.50E+00,7.10E+06
2.80E+00,4.33E-02,4.77E-06,6.46E+02,2.13E+00,3.92E-01,3.09E+00,5.59E+06
1.94E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.20E+00,9.97E-03,1.86E-06,1.61E+02,5.01E+00,1.68E+00,2.80E+00,3.35E+06
1.99E+00,3.72E-02,5.80E-07,2.22E+06,5.50E+01,3.90E+01,2.87E+00,6.81E+07
1.75E+03,1.07E+00,3.68E-06,1.48E+01,6.67E+02,1.02E-04,7.18E+02,3.89E+05
1.32E+01,1.92E+00,5.96E-05,2.33E+00,2.25E+00,1.64E-02,2.18E+00,3.57E+07
5.21E-01,1.90E-03,1.06E-06,2.09E+01,1.38E+01,5.00E+00,1.51E+00,2.01E+07
1.87E+00,7.36E-03,1.66E-06,2.38E+02,3.68E+00,1.15E+00,2.24E+00,4.25E+07
1.16E+04,1.01E-35,1.25E+08,7.68E-39,1.15E-43,3.00E+25,5.73E-11,3.46E-23
4.13E+00,2.12E-02,9.42E-07,4.95E+02,2.86E+00,1.63E+00,1.82E+00,1.38E+07
3.84E+00,2.10E-01,1.30E-05,2.35E+01,1.60E+00,5.45E-02,1.46E+00,1.69E+07
1.69E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.10E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.49E+00,1.50E-01,1.84E-06,1.43E+02,2.43E+00,7.81E-01,2.92E+00,2.03E+07
1.78E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.23E+00,9.71E-03,2.00E-06,6.27E+02,3.78E+00,1.02E+00,2.05E+00,2.81E+06
1.93E+00,9.29E-02,3.82E-06,1.54E+02,4.80E+00,6.45E-01,2.72E+00,1.32E+07
5.79E+04,6.26E-57,5.17E-35,2.82E+11,1.12E+10,1.89E-07,6.09E+09,1.12E+46
5.81E+00,2.67E-01,1.11E-04,4.85E+00,3.61E+00,1.13E-02,2.21E+00,2.53E+07
1.83E+00,1.22E-02,3.94E-06,1.61E+02,2.54E+00,4.59E-01,3.29E+00,1.37E+07
1.43E+00,1.57E-01,1.31E-06,3.54E+01,2.05E+00,1.13E+00,3.01E+00,1.96E+07
7.93E+03,1.38E-38,3.55E-27,9.87E+29,1.62E+09,2.21E+02,3.13E+09,2.30E+41
2.19E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.88E+00,2.71E-02,2.26E-06,1.43E+02,3.31E+00,3.37E+00,1.23E+01,4.57E+06
2.20E+00,3.84E-02,8.01E-07,1.67E+02,2.90E+00,2.37E+00,3.08E+00,2.36E+07
3.12E+00,1.65E-01,2.82E-06,1.07E+02,2.19E+00,5.16E-01,3.24E+00,2.12E+07
3.52E+00,6.14E-02,6.51E-06,2.76E+01,6.60E+00,6.96E-01,4.52E+00,1.17E+07
9.49E+03,3.05E-17,5.25E-11,6.88E-03,2.11E+00,9.48E+02,6.14E+18,8.15E+07
2.83E+00,1.82E-01,5.15E-06,5.44E+01,2.06E+00,1.73E-01,1.65E+00,1.84E+07
2.40E+00,2.82E-03,2.67E-06,4.67E+02,2.85E+00,5.24E-01,1.77E+00,2.69E+07
2.56E+00,3.44E-03,2.34E-06,7.07E+02,3.34E+00,1.13E+00,4.22E+00,1.73E+07
1.93E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.35E+00,5.82E-02,6.49E-06,1.46E+02,2.22E+00,2.55E-01,2.95E+00,9.03E+06
3.02E+02,1.20E-01,1.22E-06,1.83E+02,3.15E+00,2.15E+00,5.68E+00,2.13E+07
1.77E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.64E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.92E+00,3.59E-02,1.07E-06,8.03E+01,2.78E+00,1.19E+01,2.33E+01,5.94E+06
2.03E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.11E+00,1.37E-01,2.28E-06,1.88E+01,3.00E+00,6.76E-01,2.25E+00,1.76E+07
2.16E+00,5.71E-02,1.79E-06,3.56E+02,6.13E+00,2.22E+00,2.83E+00,5.75E+06
1.35E+00,5.43E-02,7.51E-07,2.73E+00,4.94E+00,2.98E+01,1.56E+01,5.47E+06
8.60E-01,3.84E-04,2.63E-07,2.30E+02,1.42E+01,3.99E+01,4.94E+00,8.30E+08
1.11E+00,5.95E-02,3.68E-06,1.11E+03,1.07E+01,1.26E+00,2.02E+00,8.09E+06
8.20E+00,1.30E-01,4.65E-05,5.75E+00,2.45E+00,2.07E-02,1.12E+00,1.46E+07
1.81E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.46E+03,3.46E+00,4.73E+12,9.49E+29,4.25E-02,3.37E+14,8.45E+07,3.73E+23
1.23E+03,2.44E-05,9.62E+34,6.80E+55,8.80E-08,9.32E+33,7.83E+09,2.77E+40
8.29E+03,3.71E-34,1.68E+02,1.02E+00,4.52E+02,3.16E+10,3.91E+26,1.67E-03
2.33E+00,1.50E-02,2.25E-06,1.83E+02,3.34E+00,7.54E-01,1.85E+00,8.18E+06
5.18E+00,1.32E-01,1.50E-05,1.46E+02,4.60E+00,1.03E-01,1.09E+00,1.15E+07
1.84E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.33E+00,1.07E-01,1.43E-06,1.49E+02,3.94E+00,1.74E+00,2.71E+00,1.12E+07
3.10E+00,1.15E-01,1.48E-06,1.96E+02,3.61E+00,1.70E+00,4.35E+00,2.23E+07
1.41E+03,2.53E-05,1.14E+30,6.87E+40,8.66E-14,1.10E+31,1.51E+00,2.01E+40
3.51E+00,3.86E-02,3.30E-06,6.85E+02,1.95E+00,5.65E-01,3.93E+00,8.52E+06
8.19E-01,1.05E-01,2.05E-06,2.92E+01,8.29E+00,2.26E+00,3.38E+00,1.56E+07
2.97E+00,1.31E-01,2.50E-06,8.65E+01,2.98E+00,8.04E-01,2.40E+00,1.01E+07
9.18E-01,8.83E-02,1.63E-06,1.95E+02,4.94E+00,2.82E+00,5.31E+00,1.10E+07
1.28E+00,3.49E-03,1.11E-06,1.91E+01,9.36E+00,6.74E+00,4.69E+00,4.14E+06
3.37E+03,3.67E-10,2.32E-11,2.30E+07,4.51E+03,1.03E+12,7.96E+04,1.23E+14
3.45E+00,4.13E-02,5.95E-06,2.78E+02,3.10E+00,3.52E-01,3.52E+00,3.32E+07
1.87E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.08E+00,3.37E-02,9.22E-07,1.58E+01,7.51E+00,1.11E+01,8.93E+00,9.53E+06
1.72E+03,5.32E-10,4.78E+26,5.04E+52,1.90E-13,3.99E+35,1.46E+04,2.99E+49
2.94E+00,5.90E-02,3.98E-06,1.07E+02,1.74E+00,9.71E-01,9.80E+00,1.19E+07
1.38E+00,8.23E-02,2.11E-06,1.98E+01,3.94E+00,9.41E-01,2.22E+00,1.53E+07
2.06E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.68E+00,1.06E-01,3.38E-06,2.47E+02,3.82E+00,6.45E-01,2.81E+00,1.46E+07
3.59E+00,1.74E-01,6.15E-06,5.00E+01,1.85E+00,1.48E-01,2.53E+00,2.70E+07
6.77E+00,2.04E-01,1.44E-05,5.53E+01,4.00E+00,5.54E-02,1.40E+00,1.02E+08
1.77E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
8.04E+04,3.39E-06,7.76E-33,7.36E-04,7.71E+23,2.63E-29,3.92E+21,3.97E+03
9.95E-01,8.83E-02,1.79E-06,2.36E+01,7.89E+00,3.31E+00,4.53E+00,1.30E+07
1.51E+00,3.48E-02,6.77E-07,9.72E+01,4.47E+00,6.34E+00,5.18E+00,1.09E+07
1.96E+00,1.99E-01,1.26E-06,1.24E+02,2.20E+00,1.23E+00,3.27E+00,1.81E+07
2.80E+00,1.60E-01,6.76E-07,2.23E+02,2.17E+00,1.93E+00,1.62E+00,1.05E+07
7.12E+03,5.63E-46,1.90E-35,2.00E+55,4.25E+28,7.69E+43,6.76E+17,1.29E+26
5.27E-01,7.42E-02,5.86E-07,1.44E+02,1.81E+00,7.77E+00,1.30E+01,3.25E+07
2.21E+00,1.19E-01,1.80E-06,1.35E+02,2.10E+00,9.43E-01,3.87E+00,1.85E+07
1.47E+03,8.44E-02,1.23E+31,1.51E+59,3.15E-03,9.03E+30,2.42E+15,8.46E+40
1.16E+00,1.79E-01,1.65E-06,1.66E+02,2.88E+00,9.77E-01,2.41E+00,1.65E+07
1.55E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.20E+00,1.26E-01,1.76E-06,2.30E+02,2.25E+00,6.70E-01,1.90E+00,1.60E+07
1.24E+00,8.65E-02,1.24E-06,6.90E+01,2.93E+00,3.67E+00,7.70E+00,1.13E+07
1.67E+00,1.02E-01,6.64E-07,1.81E+02,2.79E+00,2.47E+00,2.23E+00,1.45E+07
1.79E+00,6.83E-02,6.91E-07,7.19E+01,6.36E+00,4.20E+00,2.68E+00,5.14E+07
1.71E+00,1.09E-01,1.57E-06,9.83E+01,3.65E+00,1.19E+00,2.62E+00,1.70E+07
8.68E+00,1.67E-01,6.04E-05,2.37E+00,3.34E+00,2.83E-02,1.65E+00,1.50E+07
2.07E+00,1.19E-02,1.40E-06,1.28E+02,6.73E+00,2.15E+00,2.18E+00,1.61E+07
4.92E+04,2.75E-02,5.02E-11,8.40E+08,2.44E+10,1.10E-08,9.60E+12,2.74E+04
2.61E+00,1.72E-02,3.78E-06,4.93E+01,3.03E+00,5.52E-01,2.79E+00,4.87E+06
5.31E+00,6.60E-02,1.86E-05,4.08E+01,3.45E+00,5.83E-02,1.15E+00,2.31E+07
3.66E+00,9.92E-02,1.79E-06,3.97E+02,4.29E+00,9.11E-01,1.66E+00,2.34E+07
4.20E+00,4.81E-01,2.83E-05,3.96E+00,1.70E+00,1.96E-02,1.40E+00,2.70E+07
1.96E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
5.60E+03,4.33E-49,4.28E-68,2.41E+78,5.89E+15,1.64E+123,4.36E+55,4.10E-01
1.69E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.91E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
7.19E-01,1.81E-01,1.68E-06,1.46E+02,3.33E+00,7.94E-01,1.91E+00,2.12E+07
2.51E+00,1.40E-03,1.38E-06,7.26E+01,2.32E+00,1.36E+00,3.28E+00,1.16E+07
2.05E+00,6.80E-02,1.54E-06,1.40E+02,2.28E+00,1.66E+00,4.76E+00,1.15E+07
1.84E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.18E+00,5.08E-02,8.65E-07,3.35E+02,7.37E+00,3.84E+00,2.20E+00,1.40E+07
1.33E+00,4.34E-03,9.97E-07,5.57E+02,5.80E+00,3.14E+00,2.57E+00,3.79E+08
1.72E+03,7.82E-20,2.17E-35,1.21E+50,2.13E+13,3.35E+45,8.89E+19,4.94E+09
3.00E+00,1.88E-02,1.09E-05,1.22E+02,4.14E+00,1.42E-01,1.53E+00,1.54E+07
1.63E+01,1.76E+00,1.01E-04,2.41E+00,2.13E+00,8.39E-03,2.85E+00,5.10E+07
2.00E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.96E+00,4.77E-03,4.22E-06,1.56E+02,2.75E+00,3.15E-01,1.50E+00,2.96E+06
6.85E+00,3.57E-01,5.75E-06,8.29E+01,1.75E+00,1.03E-01,1.71E+00,3.27E+07
7.43E+00,2.35E-01,6.06E-05,2.80E+00,1.89E+00,1.17E-02,1.26E+00,2.33E+07
1.83E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
9.78E+00,2.61E-01,1.86E-04,2.33E+00,2.87E+00,7.67E-03,2.00E+00,1.58E+07
1.49E+00,1.05E-01,6.30E-06,1.17E+02,3.07E+00,3.41E-01,3.00E+00,1.07E+07
1.07E+00,1.59E-02,2.55E-06,5.08E+01,1.05E+01,3.08E+00,4.64E+00,4.30E+06
1.76E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.80E+00,8.82E-02,3.45E-06,1.43E+02,3.65E+00,3.58E-01,1.45E+00,4.29E+07
1.07E+01,2.09E+00,1.66E-04,2.25E+00,2.03E+00,4.93E-03,1.96E+00,3.50E+07
1.89E+00,3.49E-02,1.80E-06,1.50E+02,3.44E+00,1.01E+00,2.11E+00,1.18E+07
2.09E+00,1.34E-03,1.44E-06,2.73E+02,4.64E+00,1.43E+00,1.85E+00,1.40E+08
2.85E+00,3.59E-02,4.37E-06,1.69E+02,3.51E+00,4.66E-01,2.55E+00,1.25E+07
3.22E+02,1.65E+14,1.44E-02,2.58E-13,1.27E-67,1.89E+08,6.62E-23,1.79E+25
2.34E+00,3.30E-01,3.54E-06,1.44E+02,4.11E+00,2.40E-01,1.36E+00,4.58E+07
7.65E+00,2.85E-01,1.92E-04,2.16E+00,3.25E+00,7.02E-03,1.32E+00,1.36E+07
1.52E+00,1.20E-01,1.68E-06,1.84E+02,3.74E+00,2.68E+00,8.58E+00,2.40E+07
2.08E+00,2.81E-02,1.48E-06,1.94E+02,8.17E+00,3.60E+00,3.70E+00,7.26E+06
1.73E+00,2.72E-02,1.77E-06,6.42E+01,7.60E+00,1.83E+00,1.90E+00,1.32E+07
8.70E+00,7.09E-02,1.39E-07,3.04E+02,1.52E+00,1.61E+01,5.02E+00,1.72E+07
