SSR, lamb, beta, k, delta, p, c, K
4.38E+04,5.58E-30,2.66E-11,1.48E+14,1.73E+06,1.17E-06,7.02E+15,7.61E+24
2.80E+00,3.22E-01,3.76E-06,7.03E+01,2.80E+00,2.44E-01,1.95E+00,3.34E+07
1.55E+00,2.65E-01,2.21E-06,1.32E+02,2.50E+00,4.95E-01,2.25E+00,2.53E+07
1.47E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.39E+00,1.58E-01,1.62E-06,2.81E+02,2.66E+00,6.16E-01,1.97E+00,3.98E+07
2.51E+03,1.65E+01,2.57E-10,7.67E+08,3.77E+10,1.71E-08,6.68E+12,3.00E+02
2.30E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
8.14E+00,1.93E+00,6.98E-05,2.51E+00,1.93E+00,1.21E-02,2.41E+00,3.95E+07
2.01E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.33E+00,1.36E-01,2.14E-06,1.97E+02,3.10E+00,8.70E-01,2.83E+00,1.47E+07
1.54E+03,2.47E-20,1.51E-42,1.85E+34,2.80E+10,4.57E+49,3.63E+15,4.65E+14
1.46E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
5.94E+03,5.96E-49,2.78E-49,1.50E+51,3.51E+10,2.11E+06,2.80E+25,7.98E+64
1.85E+00,6.71E-02,4.54E-06,1.17E+02,8.58E+00,7.37E-01,2.18E+00,1.75E+07
1.96E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.55E+00,8.59E-03,1.20E-06,1.42E+01,1.73E+01,6.55E+00,2.10E+00,5.48E+06
1.85E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.14E+00,1.20E-03,6.99E-07,2.79E+03,2.73E+00,3.17E+00,3.45E+00,1.68E+08
4.17E+00,7.47E-02,4.77E-06,1.21E+03,3.57E+00,2.73E-01,1.88E+00,6.56E+07
1.89E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
3.06E+00,2.16E-01,1.78E-06,6.60E+01,3.06E+00,6.20E-01,1.47E+00,2.42E+07
2.62E+00,1.44E-01,3.53E-06,2.00E+02,2.74E+00,3.33E-01,1.54E+00,1.48E+07
1.96E+00,1.89E-02,1.19E-06,5.27E+01,2.94E+00,4.52E+00,9.18E+00,4.94E+06
5.05E-01,5.42E-03,1.03E-06,3.73E+01,9.17E+00,7.55E+00,5.82E+00,8.61E+06
6.22E+01,1.55E-153,6.73E-114,4.39E-144,3.63E-85,2.73E-64,6.14E-04,3.29E-34
2.86E+03,3.13E-07,1.64E-06,1.15E+04,4.48E+01,1.17E-03,1.16E+03,3.25E+11
1.58E+00,7.44E-03,9.71E-07,2.55E+02,2.73E+00,1.88E+00,2.77E+00,1.52E+07
1.32E+00,1.92E-01,2.94E-06,4.81E+01,3.98E+00,4.38E-01,1.92E+00,2.99E+07
1.70E+00,1.73E-02,6.58E-07,9.04E+01,3.37E+00,4.44E+00,4.35E+00,1.20E+07
1.35E+00,2.72E-02,8.06E-07,9.04E+01,1.31E+01,1.97E+01,8.19E+00,4.87E+06
1.33E+03,1.23E-11,7.77E+34,3.03E+52,3.64E-11,2.41E+36,1.22E+04,1.29E+42
1.28E+04,2.39E-29,6.87E-23,4.62E+09,8.38E-01,1.14E-05,9.84E+12,8.68E+28
2.39E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.75E+00,5.90E-02,1.04E-06,5.89E+01,1.51E+01,5.50E+00,2.34E+00,5.27E+07
1.91E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.72E+00,2.74E-01,3.23E-06,4.89E+00,1.67E+00,5.03E-01,4.13E+00,2.22E+07
2.06E+00,7.44E-02,2.08E-06,1.67E+02,2.65E+00,1.02E+00,3.03E+00,9.85E+06
1.56E+00,3.64E-02,7.70E-07,8.29E+01,4.97E+00,6.85E+00,6.29E+00,8.78E+06
5.63E+00,6.37E-02,1.86E-05,2.42E+01,2.06E+00,5.10E-02,1.28E+00,1.10E+07
1.26E+00,1.10E-01,1.32E-06,5.02E+00,5.02E+00,3.09E+00,2.87E+00,9.53E+06
7.60E+03,4.71E-57,1.20E-22,1.20E+41,4.06E+08,2.21E+31,7.14E+17,1.82E+01
2.95E+00,2.62E-02,3.19E-06,2.12E+02,4.06E+00,5.35E-01,1.88E+00,4.32E+07
2.20E+00,1.88E-02,2.58E-06,6.21E+02,3.95E+00,9.88E-01,3.19E+00,1.11E+07
1.10E+01,1.69E+00,3.99E-05,3.59E+00,1.78E+00,2.35E-02,2.51E+00,3.46E+07
1.74E+00,5.99E-02,1.91E-06,1.70E+02,3.26E+00,1.38E+00,3.36E+00,6.76E+06
1.09E+00,2.11E-01,2.46E-06,4.15E+00,4.14E+00,9.33E-01,2.32E+00,1.76E+07
1.93E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.59E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.49E+00,1.58E-01,7.66E-07,9.05E+02,6.38E+00,3.73E+00,2.76E+00,2.50E+07
2.19E+00,1.07E-01,8.16E-07,1.33E+02,4.29E+00,2.68E+00,2.62E+00,1.98E+07
1.51E+01,1.83E+00,1.01E-04,2.33E+00,2.32E+00,8.50E-03,2.57E+00,5.03E+07
1.79E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
8.15E-01,1.10E-01,8.67E-07,2.24E+01,6.18E+00,5.21E+00,4.10E+00,1.47E+07
